Case 1: Learning rate = 0.001
Sess 77/10000 1024 iters: loss 0.029494
Sess 78/10000 1024 iters: loss 0.049676
Sess 79/10000 1024 iters: loss 0.034590
Sess 80/10000 1024 iters: loss 0.067625
Sess 81/10000 1024 iters: loss 0.052553
Sess 82/10000 1024 iters: loss 0.044564
Sess 83/10000 1024 iters: loss 0.052073
Sess 84/10000 1024 iters: loss 0.051121
Sess 85/10000 1024 iters: loss 0.033715
Sess 86/10000 1024 iters: loss 0.043352
Sess 87/10000 1024 iters: loss 0.054021
Sess 88/10000 1024 iters: loss 0.041114
Sess 89/10000 1024 iters: loss 0.048884
Sess 90/10000 1024 iters: loss 0.049383
Sess 91/10000 1024 iters: loss 0.048343
Sess 92/10000 1024 iters: loss 0.051987
Sess 93/10000 1024 iters: loss 0.050183
Sess 94/10000 1024 iters: loss 0.063576
Sess 95/10000 1024 iters: loss 0.047547
Sess 96/10000 1024 iters: loss 0.056926
Sess 97/10000 1024 iters: loss 0.043212
Sess 98/10000 1024 iters: loss 0.040539
Sess 99/10000 1024 iters: loss 0.050222
Sess 100/10000 1024 iters: loss 0.056351

Case 4: Learning Rate = 0.1

Sess 1/10000 1024 iters: loss 0.055987
Sess 2/10000 1024 iters: loss 0.048158
Sess 3/10000 1024 iters: loss 0.055912
Sess 4/10000 1024 iters: loss 0.059780
Sess 5/10000 1024 iters: loss 0.050133
Sess 6/10000 1024 iters: loss 0.051914
Sess 7/10000 1024 iters: loss 0.034960
Sess 8/10000 1024 iters: loss 0.066561
Sess 9/10000 1024 iters: loss 0.044111
Sess 10/10000 1024 iters: loss 0.075002
Sess 11/10000 1024 iters: loss 0.060025
Sess 12/10000 1024 iters: loss 0.072029
Sess 13/10000 1024 iters: loss 0.083449
Sess 14/10000 1024 iters: loss 0.069255
Sess 15/10000 1024 iters: loss 0.097087
Sess 16/10000 1024 iters: loss 0.063719
Sess 17/10000 1024 iters: loss 0.051193
Sess 18/10000 1024 iters: loss 0.047759
Sess 19/10000 1024 iters: loss 0.050861
Sess 20/10000 1024 iters: loss 0.073100
Sess 21/10000 1024 iters: loss 0.071430
Sess 22/10000 1024 iters: loss 0.092477
Sess 23/10000 1024 iters: loss 0.056867
Sess 24/10000 1024 iters: loss 0.081349
Sess 25/10000 1024 iters: loss 0.069465
Sess 26/10000 1024 iters: loss 0.066474
Sess 27/10000 1024 iters: loss 0.071496
Sess 28/10000 1024 iters: loss 0.052449
Sess 29/10000 1024 iters: loss 0.055730
Sess 30/10000 1024 iters: loss 0.077149
Sess 31/10000 1024 iters: loss 0.072800
Sess 32/10000 1024 iters: loss 0.070159
Sess 33/10000 1024 iters: loss 0.066884
Sess 34/10000 1024 iters: loss 0.082525
Sess 35/10000 1024 iters: loss 0.069094
Sess 36/10000 1024 iters: loss 0.065330
Sess 37/10000 1024 iters: loss 0.052040
Sess 38/10000 1024 iters: loss 0.062470
Sess 39/10000 1024 iters: loss 0.087722
Sess 40/10000 1024 iters: loss 0.053593
Sess 41/10000 1024 iters: loss 0.056667
Sess 42/10000 1024 iters: loss 0.063754
Sess 43/10000 1024 iters: loss 0.052419
Sess 44/10000 1024 iters: loss 0.045459
Sess 45/10000 1024 iters: loss 0.070148
Sess 46/10000 1024 iters: loss 0.081286
Sess 47/10000 1024 iters: loss 0.069520
Sess 48/10000 1024 iters: loss 0.084941
Sess 49/10000 1024 iters: loss 0.063151
Sess 50/10000 1024 iters: loss 0.037740
Sess 51/10000 1024 iters: loss 0.067843
Sess 52/10000 1024 iters: loss 0.056786
Sess 53/10000 1024 iters: loss 0.056561
Sess 54/10000 1024 iters: loss 0.064481
Sess 55/10000 1024 iters: loss 0.086068
Sess 56/10000 1024 iters: loss 0.050022
Sess 57/10000 1024 iters: loss 0.060910
Sess 58/10000 1024 iters: loss 0.034712
Sess 59/10000 1024 iters: loss 0.082032
Sess 60/10000 1024 iters: loss 0.048609
Sess 61/10000 1024 iters: loss 0.054011
Sess 62/10000 1024 iters: loss 0.085662
Sess 63/10000 1024 iters: loss 0.037478
Sess 64/10000 1024 iters: loss 0.071463
Sess 65/10000 1024 iters: loss 0.068474
Sess 66/10000 1024 iters: loss 0.084878
Sess 67/10000 1024 iters: loss 0.051990
Sess 68/10000 1024 iters: loss 0.071489
Sess 69/10000 1024 iters: loss 0.059260
Sess 70/10000 1024 iters: loss 0.058517
Sess 71/10000 1024 iters: loss 0.061010
Sess 72/10000 1024 iters: loss 0.054923
Sess 73/10000 1024 iters: loss 0.098276
Sess 74/10000 1024 iters: loss 0.080502
Sess 75/10000 1024 iters: loss 0.111208
Sess 76/10000 1024 iters: loss 0.070282
Sess 77/10000 1024 iters: loss 0.063953
Sess 78/10000 1024 iters: loss 0.067098
Sess 79/10000 1024 iters: loss 0.063359
Sess 80/10000 1024 iters: loss 0.069052
Sess 81/10000 1024 iters: loss 0.078788
Sess 82/10000 1024 iters: loss 0.055026
Sess 83/10000 1024 iters: loss 0.042620
